"OrderID";"DeliveryDistrictName"
2017-000027;Свиблово
2017-000216;Замоскворечье
2017-000268;Лефортово
2017-000268;Лефортово
2017-000268;Лефортово
2017-000268;Лефортово
2017-000310;Тверской
2017-000310;Тверской
2017-000310;Тверской
2017-000310;Тверской
2017-000437;Измайлово
2017-000480;Тверской
2017-000584;Щукино
2017-000584;Щукино
2017-000633;Ясенево
2017-000633;Ясенево
2017-000825;Войковский
2017-000976;Бибирево
2017-000976;Бибирево
2017-000976;Бибирево
2017-001024;Ярославский
2017-001024;Ярославский
2017-001362;Красносельский
2017-001362;Красносельский
2017-001362;Красносельский
2017-001534;Даниловский
2017-002073;Ростокино
2017-002243;Лефортово
2017-002347;Таганский
2017-003028;Можайский
2017-003028;Можайский
2017-003048;Лосиноостровский
2017-003167;Соколиная Гора
2017-003209;Бирюлёво Западное
2017-003209;Бирюлёво Западное
2017-003361;Перово
2017-003361;Перово
2017-003465;Ярославский
2017-003465;Ярославский
2017-003666;Выхино-Жулебино
2017-004003;Пресненский
2017-004003;Пресненский
2017-004003;Пресненский
2017-004015;Сокольники
2017-004015;Сокольники
2017-004015;Сокольники
2017-004429;Тверской
2017-004429;Тверской
2017-004429;Тверской
2017-004562;Тимирязевский
2017-004562;Тимирязевский
2017-004562;Тимирязевский
2017-004602;Аэропорт
2017-004747;Тверской
2017-004747;Тверской
2017-004747;Тверской
2017-004747;Тверской
2017-005033;Гольяново
2017-005262;Красносельский
2017-005496;Лефортово
2017-005878;Москворечье-Сабурово
2017-005878;Москворечье-Сабурово
2017-005878;Москворечье-Сабурово
2017-005878;Москворечье-Сабурово
2017-005892;Мещанский
2017-005892;Мещанский
2017-006106;Нагатинский Затон
2017-006106;Нагатинский Затон
2017-006485;Свиблово
2017-006485;Свиблово
2017-006535;Западное Дегунино
2017-006535;Западное Дегунино
2017-007102;Пресненский
2017-007102;Пресненский
2017-007160;Лефортово
2017-007183;Ховрино
2017-007187;Отрадное
2017-007187;Отрадное
2017-007187;Отрадное
2017-007187;Отрадное
2017-007298;Ярославский
2017-007298;Ярославский
2017-007450;Сокольники
2017-007450;Сокольники
2017-007450;Сокольники
2017-007557;Тимирязевский
2017-007767;Котловка
2017-007767;Котловка
2017-008286;Ивановское
2017-008299;Алексеевский
2017-008364;Бутырский
2017-008516;Северное Медведково
2017-008516;Северное Медведково
2017-008804;Бескудниковский
2017-008885;Южное Тушино
2017-008885;Южное Тушино
2017-009255;Мещанский
2017-009654;Бескудниковский
2017-009654;Бескудниковский
2017-009654;Бескудниковский
2017-009851;Очаково-Матвеевское
2017-010663;Академический
2017-010795;Ломоносовский
2017-011027;Басманный
2017-011027;Басманный
2017-011055;Южное Медведково
2017-011139;Якиманка
2017-011139;Якиманка
2017-011139;Якиманка
2017-011527;Даниловский
2017-011527;Даниловский
2017-011527;Даниловский
2017-011787;Марьино
2017-011787;Марьино
2017-011787;Марьино
2017-011787;Марьино
2017-011787;Марьино
2017-012364;Можайский
2017-012364;Можайский
2017-012486;Академический
2017-012574;Басманный
2017-012666;Хорошёво-Мнёвники
2017-012784;Люблино
2017-012784;Люблино
2017-012785;Хорошёво-Мнёвники
2017-012892;Нагорный
2017-013028;Ярославский
2017-013028;Ярославский
2017-013205;Царицыно
2017-013205;Царицыно
2017-013246;Восточное Дегунино
2017-013680;Тверской
2017-013680;Тверской
2017-013680;Тверской
2017-013786;Обручевский
2017-013840;Преображенское
2017-013840;Преображенское
2017-013840;Преображенское
2017-014140;Лефортово
2017-014140;Лефортово
2017-014140;Лефортово
2017-014140;Лефортово
2017-014182;Басманный
2017-014371;Коптево
2017-014460;Марьина Роща
2017-014460;Марьина Роща
2017-014469;Котловка
2017-014469;Котловка
2017-014469;Котловка
2017-014469;Котловка
2017-014609;Кузьминки
2017-014910;Тверской
