OrderID;OrderDate;ProductName;ProductBrand;ProductSubcategory;ProductCategory;DeliveryType;PaymentType;ClientGender;Sales;ClientStatus;ShopName;ShopAddress;ShopAddressCoord
2017-000027;05.07.2019;Выпрямитель для волос;TechBeauty;Техника для красоты и здоровья;Техника для дома;Доставка;Наличные;Мужчина;870;Базовый;Гамма;город Москва, Лазоревый проезд, дом 15, строение 4;[55.8538123,37.631289912]
2017-000216;03.05.2019;Зубная паста отбеливающая;Кедровый лес;Косметика и здоровье;Бытовые товары;Самовывоз;Наличные;Женщина;85;Серебряный;Бета;город Москва, Долгоруковская улица, дом 23, строение 1;[55.775754162,37.602958792]
2017-000268;31.03.2019;Набор тарелок на 4 персоны, керамические;Хлеб-соль;Кухонные товары;Бытовые товары;Самовывоз;Наличные;Женщина;2574;Базовый;Каппа;город Москва, улица Стромынка, дом 6;[55.7912397,37.687272174]
2017-000268;31.03.2019;Лава-лампа;1001 и одна нужная мелочь;Товары последней необходимости;Бытовые товары;Самовывоз;Наличные;Женщина;2135;Базовый;Каппа;город Москва, улица Стромынка, дом 6;[55.7912397,37.687272174]
2017-000268;31.03.2019;Блендер;Kitchen&Food;Кухонная;Техника для дома;Самовывоз;Наличные;Женщина;1460;Базовый;Каппа;город Москва, улица Стромынка, дом 6;[55.7912397,37.687272174]
2017-000268;31.03.2019;Увлажнитель воздуха;Фабрика комфорта;Техника для красоты и здоровья;Техника для дома;Самовывоз;Наличные;Женщина;5748;Базовый;Каппа;город Москва, улица Стромынка, дом 6;[55.7912397,37.687272174]
2017-000310;07.04.2019;Магниты на холодильник, 5 шт.;1001 и одна нужная мелочь;Товары последней необходимости;Бытовые товары;Самовывоз;Наличные;Мужчина;270;Золотой;Бета;город Москва, Долгоруковская улица, дом 23, строение 1;[55.775754162,37.602958792]
2017-000310;07.04.2019;Электрический чайник;Разумный дом;Кухонная;Техника для дома;Самовывоз;Наличные;Мужчина;1267;Золотой;Бета;город Москва, Долгоруковская улица, дом 23, строение 1;[55.775754162,37.602958792]
2017-000310;07.04.2019;Выпрямитель для волос;TechBeauty;Техника для красоты и здоровья;Техника для дома;Самовывоз;Наличные;Мужчина;878;Золотой;Бета;город Москва, Долгоруковская улица, дом 23, строение 1;[55.775754162,37.602958792]
2017-000310;07.04.2019;Увлажнитель воздуха;Фабрика комфорта;Техника для красоты и здоровья;Техника для дома;Самовывоз;Наличные;Мужчина;5800;Золотой;Бета;город Москва, Долгоруковская улица, дом 23, строение 1;[55.775754162,37.602958792]
2017-000437;10.10.2019;Порошок для чистки плиты;БиоДом;Чистящие средства;Бытовая химия;Самовывоз;Банковская карта;Мужчина;205;Золотой;Дзета;город Москва, Рязанский проспект, дом 2, строение 24;[55.730702846,37.735875581]
2017-000480;04.03.2019;Весы напольные;Разумный дом;Техника для красоты и здоровья;Техника для дома;Самовывоз;Наличные;Мужчина;887;Базовый;Бета;город Москва, Долгоруковская улица, дом 23, строение 1;[55.775754162,37.602958792]
2017-000584;14.07.2019;Зубная паста отбеливающая;Кедровый лес;Косметика и здоровье;Бытовые товары;Самовывоз;Наличные;Мужчина;85;Базовый;Сигма;город Москва, улица Демьяна Бедного, дом 8;[55.772185093,37.488024823]
2017-000584;14.07.2019;Скатерть кухонная темно-синяя ;Ростовская фабрика;Кухонные товары;Бытовые товары;Самовывоз;Наличные;Мужчина;328;Базовый;Сигма;город Москва, улица Демьяна Бедного, дом 8;[55.772185093,37.488024823]
2017-000633;12.06.2019;Гель для стирки белых вещей;Чистый дом;Моющие средства;Бытовая химия;Самовывоз;Наличные;Мужчина;500;Золотой;Омега;город Москва, улица Новаторов, дом 4, корпус 8;[55.665135883,37.516913389]
2017-000633;12.06.2019;Гель для стирки белых вещей;Чистый дом;Моющие средства;Бытовая химия;Самовывоз;Наличные;Мужчина;501;Золотой;Омега;город Москва, улица Новаторов, дом 4, корпус 8;[55.665135883,37.516913389]
2017-000825;11.03.2019;"Чистящее средство для автомобиля ""Скорость""";Городской драйв;Чистящие средства;Бытовая химия;Самовывоз;Банковская карта;Женщина;637;Золотой;Тау;город Москва, Флотская улица, дом 25;[55.86161123,37.51313997]
2017-000976;30.01.2019;Зубная паста для чувствительных десен;Кедровый лес;Косметика и здоровье;Бытовые товары;Самовывоз;Банковская карта;Женщина;109;Серебряный;Гамма;город Москва, Лазоревый проезд, дом 15, строение 4;[55.8538123,37.631289912]
2017-000976;30.01.2019;Лава-лампа;1001 и одна нужная мелочь;Товары последней необходимости;Бытовые товары;Самовывоз;Банковская карта;Женщина;2142;Серебряный;Гамма;город Москва, Лазоревый проезд, дом 15, строение 4;[55.8538123,37.631289912]
2017-000976;30.01.2019;Миксер многофункциональный;Kitchen&Food;Кухонная;Техника для дома;Самовывоз;Банковская карта;Женщина;1047;Серебряный;Гамма;город Москва, Лазоревый проезд, дом 15, строение 4;[55.8538123,37.631289912]
2017-001024;24.03.2019;Порошок для чистки ковриков;Городской драйв;Чистящие средства;Бытовая химия;Самовывоз;Наличные;Мужчина;446;Золотой;Гамма;город Москва, Лазоревый проезд, дом 15, строение 4;[55.8538123,37.631289912]
2017-001024;24.03.2019;Увлажнитель воздуха;Фабрика комфорта;Техника для красоты и здоровья;Техника для дома;Самовывоз;Наличные;Мужчина;5758;Золотой;Гамма;город Москва, Лазоревый проезд, дом 15, строение 4;[55.8538123,37.631289912]
2017-001362;08.09.2019;Порошок для чистки ковриков;Городской драйв;Чистящие средства;Бытовая химия;Доставка;Банковская карта;Мужчина;446;Базовый;Сигма;город Москва, улица Демьяна Бедного, дом 8;[55.772185093,37.488024823]
2017-001362;08.09.2019;Скатерть кухонная темно-синяя ;Ростовская фабрика;Кухонные товары;Бытовые товары;Доставка;Банковская карта;Мужчина;328;Базовый;Сигма;город Москва, улица Демьяна Бедного, дом 8;[55.772185093,37.488024823]
2017-001362;08.09.2019;Тостер;Разумный дом;Кухонная;Техника для дома;Доставка;Банковская карта;Мужчина;1039;Базовый;Сигма;город Москва, улица Демьяна Бедного, дом 8;[55.772185093,37.488024823]
2017-001534;13.08.2019;Декоративный букет;1001 и одна нужная мелочь;Товары последней необходимости;Бытовые товары;Самовывоз;Банковская карта;Женщина;801;Базовый;Дзета;город Москва, Рязанский проспект, дом 2, строение 24;[55.730702846,37.735875581]
2017-002073;17.06.2019;Гель для стирки белых вещей;Чистый дом;Моющие средства;Бытовая химия;Самовывоз;Наличные;Женщина;499;Золотой;Альфа;город Москва, Гвардейская улица, дом 15, корпус 2;[55.724743484,37.422065222]
2017-002243;24.07.2019;Тостер;Разумный дом;Кухонная;Техника для дома;Самовывоз;Наличные;Мужчина;1052;Серебряный;Йота;город Москва, улица Газопровод, дом 9А;[55.591001279,37.606876613]
2017-002347;09.09.2019;"Универсальное чистящее средство ""Мойдодыр""";Мойдодыр;Чистящие средства;Бытовая химия;Самовывоз;Наличные;Женщина;307;Базовый;Каппа;город Москва, улица Стромынка, дом 6;[55.7912397,37.687272174]
2017-003028;26.09.2019;Набор тарелок на 4 персоны, керамические;Хлеб-соль;Кухонные товары;Бытовые товары;Самовывоз;Банковская карта;Мужчина;2583;Серебряный;Альфа;город Москва, Гвардейская улица, дом 15, корпус 2;[55.724743484,37.422065222]
2017-003028;26.09.2019;Мультиварка с 40 режимами готовки еды;Разумный дом;Кухонная;Техника для дома;Самовывоз;Банковская карта;Мужчина;3421;Серебряный;Альфа;город Москва, Гвардейская улица, дом 15, корпус 2;[55.724743484,37.422065222]
2017-003048;20.11.2019;Раствор для мытья полов;БиоДом;Моющие средства;Бытовая химия;Самовывоз;Наличные;Мужчина;141;Базовый;Гамма;город Москва, Лазоревый проезд, дом 15, строение 4;[55.8538123,37.631289912]
2017-003167;11.08.2019;Столовые приборы на 4 персоны;Хлеб-соль;Кухонные товары;Бытовые товары;Доставка;Банковская карта;Мужчина;3736;Базовый;Каппа;город Москва, улица Стромынка, дом 6;[55.7912397,37.687272174]
2017-003209;25.02.2019;"Универсальное чистящее средство ""Мойдодыр""";Мойдодыр;Чистящие средства;Бытовая химия;Доставка;Наличные;Мужчина;303;Базовый;Йота;город Москва, улица Газопровод, дом 9А;[55.591001279,37.606876613]
2017-003209;25.02.2019;Скатерть кухонная темно-синяя ;Ростовская фабрика;Кухонные товары;Бытовые товары;Доставка;Наличные;Мужчина;326;Базовый;Йота;город Москва, улица Газопровод, дом 9А;[55.591001279,37.606876613]
2017-003361;17.07.2019;Столовые приборы на 4 персоны;Хлеб-соль;Кухонные товары;Бытовые товары;Доставка;Наличные;Мужчина;3744;Серебряный;Йота;город Москва, улица Газопровод, дом 9А;[55.591001279,37.606876613]
2017-003361;17.07.2019;Увлажнитель воздуха;Фабрика комфорта;Техника для красоты и здоровья;Техника для дома;Доставка;Наличные;Мужчина;5795;Серебряный;Йота;город Москва, улица Газопровод, дом 9А;[55.591001279,37.606876613]
2017-003465;15.02.2019;Зубная паста отбеливающая;Кедровый лес;Косметика и здоровье;Бытовые товары;Самовывоз;Банковская карта;Женщина;85;Базовый;Гамма;город Москва, Лазоревый проезд, дом 15, строение 4;[55.8538123,37.631289912]
